['Total Steps', 'Total Runtime', 'Reached Target', 'Crashed on Floor', 'Crashed on Building', 'Out of Limits', 'Reached Finish Zone']
[1, 37.057857513427734, 1, 1, 0, 0, 1]
[47, 111.61876487731934, 1, 0, 0, 0, 1]
[37, 33.56904888153076, 1, 0, 0, 0, 1]
[48, 196.92461156845093, 1, 0, 0, 0, 1]
[39, 144.60037875175476, 1, 0, 0, 0, 1]
[37, 32.41228270530701, 1, 0, 0, 0, 1]
[40, 37.777379274368286, 1, 0, 0, 0, 1]
[38, 95.60774207115173, 1, 0, 0, 0, 1]
[45, 155.92111086845398, 1, 0, 0, 0, 1]
[45, 47.84241461753845, 1, 0, 0, 0, 1]
[37, 31.67503261566162, 1, 0, 0, 0, 1]
[37, 32.671590089797974, 1, 0, 0, 0, 1]
[44, 208.4515450000763, 1, 0, 0, 0, 1]
[39, 85.75544214248657, 1, 0, 0, 0, 1]
[44, 61.94498562812805, 1, 0, 0, 0, 1]
[38, 43.27362012863159, 1, 0, 0, 0, 1]
[35, 48.27132487297058, 1, 0, 0, 0, 1]
[42, 40.759345293045044, 1, 0, 0, 0, 1]
[37, 40.07977819442749, 1, 0, 0, 0, 1]
[37, 69.71728229522705, 1, 0, 0, 0, 1]
[37, 48.72428226470947, 1, 0, 0, 0, 1]
[36, 35.04712796211243, 1, 0, 0, 0, 1]
[37, 31.396252155303955, 1, 0, 0, 0, 1]
[39, 36.75340127944946, 1, 0, 0, 0, 1]
[34, 27.96566343307495, 1, 0, 0, 0, 1]
[42, 54.13421416282654, 1, 0, 0, 0, 1]
[42, 43.05718398094177, 1, 0, 0, 0, 1]
[40, 38.54137921333313, 1, 0, 0, 0, 1]
[40, 41.129241704940796, 1, 0, 0, 0, 1]
[35, 28.600672721862793, 1, 0, 0, 0, 1]
[37, 57.25687599182129, 1, 0, 0, 0, 1]
[33, 27.00533390045166, 1, 0, 0, 0, 1]
[37, 59.081379413604736, 1, 0, 0, 0, 1]
[41, 58.71753263473511, 1, 0, 0, 0, 1]
[40, 41.621641874313354, 1, 0, 0, 0, 1]
[38, 34.0346884727478, 1, 0, 0, 0, 1]
[32, 42.283992767333984, 1, 0, 0, 0, 1]
[39, 87.70222544670105, 1, 0, 0, 0, 1]
[43, 46.325000524520874, 1, 0, 0, 0, 1]
[41, 42.04215216636658, 1, 0, 0, 0, 1]
[41, 38.401206493377686, 1, 0, 0, 0, 1]
[45, 49.986185789108276, 1, 0, 0, 0, 1]
[38, 38.97465968132019, 1, 0, 0, 0, 1]
[41, 50.4863383769989, 1, 0, 0, 0, 1]
[33, 47.44191813468933, 1, 0, 0, 0, 1]
[41, 47.13384532928467, 1, 0, 0, 0, 1]
[42, 104.38382506370544, 1, 0, 0, 0, 1]
[38, 36.103780031204224, 1, 0, 0, 0, 1]
[36, 45.207680463790894, 1, 0, 0, 0, 1]
[39, 84.02523851394653, 1, 0, 0, 0, 1]
[41, 42.90959119796753, 1, 0, 0, 0, 1]
[37, 65.35848665237427, 1, 0, 0, 0, 1]
[43, 56.5220365524292, 1, 0, 0, 0, 1]
[35, 29.241913080215454, 1, 0, 0, 0, 1]
[43, 132.29137659072876, 1, 0, 0, 0, 1]
[40, 46.514729738235474, 1, 0, 0, 0, 1]
[47, 172.52859091758728, 1, 0, 0, 0, 1]
[42, 43.480488538742065, 1, 0, 0, 0, 1]
[43, 185.92984247207642, 1, 0, 0, 0, 1]
[43, 67.64618372917175, 1, 0, 0, 0, 1]
[39, 36.43610405921936, 1, 0, 0, 0, 1]
[36, 40.636962890625, 1, 0, 0, 0, 1]
[41, 45.202653884887695, 1, 0, 0, 0, 1]
[37, 40.73519802093506, 1, 0, 0, 0, 1]
[35, 74.95162892341614, 1, 0, 0, 0, 1]
[37, 38.70451879501343, 1, 0, 0, 0, 1]
[42, 117.98042368888855, 1, 0, 0, 0, 1]
[50, 240.73733472824097, 1, 0, 0, 0, 1]
[48, 222.5845184326172, 1, 0, 0, 0, 1]
[38, 34.60066628456116, 1, 0, 0, 0, 1]
[34, 43.583964109420776, 1, 0, 0, 0, 1]
[47, 176.9101526737213, 1, 0, 0, 0, 1]
[47, 111.23369836807251, 1, 0, 0, 0, 1]
[37, 40.8691520690918, 1, 0, 0, 0, 1]
[48, 176.07511162757874, 1, 0, 0, 0, 1]
[39, 133.1062502861023, 1, 0, 0, 0, 1]
[37, 57.98846769332886, 1, 0, 0, 0, 1]
[40, 37.27301859855652, 1, 0, 0, 0, 1]
[42, 97.39879703521729, 1, 0, 0, 0, 1]
[45, 130.66515588760376, 1, 0, 0, 0, 1]
[45, 48.96548533439636, 1, 0, 0, 0, 1]
[37, 32.300864458084106, 1, 0, 0, 0, 1]
[37, 35.39279246330261, 1, 0, 0, 0, 1]
[44, 210.2038094997406, 1, 0, 0, 0, 1]
[39, 78.6264214515686, 1, 0, 0, 0, 1]
[44, 147.6235625743866, 1, 0, 0, 0, 1]
[38, 45.332945585250854, 1, 0, 0, 0, 1]
[35, 48.99383735656738, 1, 0, 0, 0, 1]
[42, 41.82240343093872, 1, 0, 0, 0, 1]
[37, 37.40584993362427, 1, 0, 0, 0, 1]
[37, 71.62070989608765, 1, 0, 0, 0, 1]
[37, 49.79085063934326, 1, 0, 0, 0, 1]
[36, 73.60339069366455, 1, 0, 0, 0, 1]
[37, 32.38153433799744, 1, 0, 0, 0, 1]
[39, 72.76363205909729, 1, 0, 0, 0, 1]
[34, 30.92451238632202, 1, 0, 0, 0, 1]
[42, 140.71795058250427, 1, 0, 0, 0, 1]
[42, 44.76480793952942, 1, 0, 0, 0, 1]
[40, 42.6444137096405, 1, 0, 0, 0, 1]
[40, 42.624146699905396, 1, 0, 0, 0, 1]
[35, 28.115726947784424, 1, 0, 0, 0, 1]
[37, 52.4559440612793, 1, 0, 0, 0, 1]
[35, 39.923100233078, 1, 0, 0, 0, 1]
[37, 50.20727014541626, 1, 0, 0, 0, 1]
[41, 109.59427261352539, 1, 0, 0, 0, 1]
[38, 71.23666191101074, 1, 0, 0, 0, 1]
[38, 34.496824979782104, 1, 0, 0, 0, 1]
[32, 42.3264639377594, 1, 0, 0, 0, 1]
[39, 106.95738124847412, 1, 0, 0, 0, 1]
[43, 48.76011919975281, 1, 0, 0, 0, 1]
[41, 45.377296447753906, 1, 0, 0, 0, 1]
[41, 40.71551179885864, 1, 0, 0, 0, 1]
[45, 48.4569046497345, 1, 0, 0, 0, 1]
[38, 37.851032972335815, 1, 0, 0, 0, 1]
[41, 130.92974400520325, 1, 0, 0, 0, 1]
[33, 49.013174295425415, 1, 0, 0, 0, 1]
[41, 48.39370918273926, 1, 0, 0, 0, 1]
[42, 103.8138484954834, 1, 0, 0, 0, 1]
[38, 35.867436170578, 1, 0, 0, 0, 1]
[36, 38.37035417556763, 1, 0, 0, 0, 1]
[39, 86.60344409942627, 1, 0, 0, 0, 1]
[41, 39.83889627456665, 1, 0, 0, 0, 1]
[37, 68.09921431541443, 1, 0, 0, 0, 1]
[43, 56.138662576675415, 1, 0, 0, 0, 1]
[35, 30.450455904006958, 1, 0, 0, 0, 1]
[47, 100.1096498966217, 1, 0, 0, 0, 1]
[37, 40.10000944137573, 1, 0, 0, 0, 1]
[48, 225.66031789779663, 1, 0, 0, 0, 1]
[39, 145.8377504348755, 1, 0, 0, 0, 1]
[37, 44.88480854034424, 1, 0, 0, 0, 1]
[40, 36.849658489227295, 1, 0, 0, 0, 1]
[42, 110.39965486526489, 1, 0, 0, 0, 1]
[45, 138.23006653785706, 1, 0, 0, 0, 1]
[45, 48.54266595840454, 1, 0, 0, 0, 1]
[37, 32.34625267982483, 1, 0, 0, 0, 1]
[37, 36.40769386291504, 1, 0, 0, 0, 1]
[44, 199.31783294677734, 1, 0, 0, 0, 1]
[39, 86.83925175666809, 1, 0, 0, 0, 1]
[44, 168.8785343170166, 1, 0, 0, 0, 1]
[47, 92.68227338790894, 1, 0, 0, 0, 1]
[37, 40.26609659194946, 1, 0, 0, 0, 1]
[47, 105.31182336807251, 1, 0, 0, 0, 1]
[37, 40.1413311958313, 1, 0, 0, 0, 1]
[47, 103.81685662269592, 1, 0, 0, 0, 1]
[37, 40.851611852645874, 1, 0, 0, 0, 1]
